ISim log file
Running: /home/ise/Desktop/CS_224/Lab10/test1_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/Desktop/CS_224/Lab10/test1_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
WARNING:  For instance uut/alu/, width 1 of formal port cin is not equal to width 32 of actual constant.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
                   0,  curr= 0,  ss_add= 0,  ss_in=    0,  ss_out=    z,  rf_id= 0,  rf_in=    0,  rf_out=    x,  alu_out=    x, tmp=    x, op= 0, tmp1=    0, tmp2=    0, is_direct=x
Finished circuit initialization process.
                 105,  curr= 1,  ss_add= 0,  ss_in=    0,  ss_out=    z,  rf_id= 0,  rf_in=    0,  rf_out=    x,  alu_out=    x, tmp=    x, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 107,  curr= 2,  ss_add= 0,  ss_in=    0,  ss_out=    2,  rf_id= 0,  rf_in=    2,  rf_out=    x,  alu_out=    x, tmp=    2, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 109,  curr= 3,  ss_add= 0,  ss_in=    0,  ss_out=    2,  rf_id= 0,  rf_in=    2,  rf_out=    2,  alu_out=    x, tmp=    2, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 111,  curr= 4,  ss_add= 1,  ss_in=    0,  ss_out=    z,  rf_id= 1,  rf_in=    2,  rf_out=    2,  alu_out=    x, tmp=    2, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 113,  curr= 1,  ss_add= 1,  ss_in=    0,  ss_out=    z,  rf_id= 1,  rf_in=    2,  rf_out=    x,  alu_out=    x, tmp=    2, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 115,  curr= 2,  ss_add= 1,  ss_in=    0,  ss_out=    4,  rf_id= 1,  rf_in=    4,  rf_out=    x,  alu_out=    x, tmp=    4, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 117,  curr= 3,  ss_add= 1,  ss_in=    0,  ss_out=    4,  rf_id= 1,  rf_in=    4,  rf_out=    4,  alu_out=    x, tmp=    4, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 119,  curr= 4,  ss_add= 2,  ss_in=    0,  ss_out=    z,  rf_id= 2,  rf_in=    4,  rf_out=    4,  alu_out=    x, tmp=    4, op= 0, tmp1=    0, tmp2=    0, is_direct=x
                 121,  curr= 1,  ss_add= 2,  ss_in=    0,  ss_out=    z,  rf_id= 2,  rf_in=    4,  rf_out=    x,  alu_out=    x, tmp=    4, op= 0, tmp1=    0, tmp2=    0, is_direct=x
