ISim log file
Running: /home/ise/Desktop/CS_224/Lab5/test2_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/Desktop/CS_224/Lab5/test2_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                   0, x = 0, y = x, reset = x, current state = x

                   5, x = 0, y = 0, reset = 1, current state = 0

                  15, x = 0, y = 0, reset = 0, current state = 0

                  25, x = 1, y = 0, reset = 0, current state = 1

                  35, x = 0, y = 0, reset = 0, current state = 2

                  45, x = 1, y = 0, reset = 0, current state = 3

                  55, x = 0, y = 0, reset = 0, current state = 4

                  65, x = 1, y = 1, reset = 0, current state = 5

                  75, x = 0, y = 0, reset = 0, current state = 4

                  85, x = 1, y = 1, reset = 0, current state = 5

                  95, x = 0, y = 0, reset = 0, current state = 4

                 105, x = 1, y = 0, reset = 1, current state = 0

                 115, x = 0, y = 0, reset = 0, current state = 0

                 125, x = 1, y = 0, reset = 0, current state = 1

                 135, x = 0, y = 0, reset = 0, current state = 2

                 145, x = 1, y = 0, reset = 0, current state = 3

                 155, x = 0, y = 0, reset = 0, current state = 4

                 165, x = 1, y = 1, reset = 0, current state = 5

                 175, x = 1, y = 0, reset = 0, current state = 1

# exit 0
