ISim log file
Running: /home/ise/Desktop/CS_224/Lab9/test1_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/Desktop/CS_224/Lab9/test1_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
WARNING:  For instance uut/alu/, width 1 of formal port cin is not equal to width 32 of actual constant.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
                   0,  curr= 0,  ss_add= 0,  ss_in=  0,  ss_out=  x,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
Finished circuit initialization process.
                 105,  curr= 1,  ss_add= 0,  ss_in=  0,  ss_out=  z,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 107,  curr= 2,  ss_add= 0,  ss_in=  0,  ss_out=  z,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 109,  curr= 3,  ss_add= 0,  ss_in=  0,  ss_out=  z,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 111,  curr= 4,  ss_add= 0,  ss_in=  0,  ss_out=  0,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 113,  curr= 5,  ss_add= 0,  ss_in=  0,  ss_out=  0,  rf_id= 0,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 115,  curr= 6,  ss_add= 0,  ss_in=  0,  ss_out=  0,  rf_id= 0,  rf_in=  0,  rf_out=  0,  alu_out=  x
                 117,  curr= 7,  ss_add= 0,  ss_in=  0,  ss_out=  0,  rf_id= 0,  rf_in=  0,  rf_out=  0,  alu_out=  x
                 119,  curr= 8,  ss_add= 1,  ss_in=  0,  ss_out=  z,  rf_id= 1,  rf_in=  0,  rf_out=  0,  alu_out=  x
                 121,  curr= 9,  ss_add= 1,  ss_in=  0,  ss_out=  z,  rf_id= 1,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 123,  curr= 1,  ss_add= 1,  ss_in=  0,  ss_out=  z,  rf_id= 1,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 125,  curr= 2,  ss_add= 1,  ss_in=  0,  ss_out=  z,  rf_id= 1,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 127,  curr= 3,  ss_add= 1,  ss_in=  0,  ss_out=  z,  rf_id= 1,  rf_in=  0,  rf_out=  x,  alu_out=  x
                 129,  curr= 4,  ss_add= 1,  ss_in=  0,  ss_out=  2,  rf_id= 1,  rf_in=  2,  rf_out=  x,  alu_out=  x
                 131,  curr= 5,  ss_add= 1,  ss_in=  0,  ss_out=  2,  rf_id= 1,  rf_in=  2,  rf_out=  x,  alu_out=  x
                 133,  curr= 6,  ss_add= 1,  ss_in=  0,  ss_out=  2,  rf_id= 1,  rf_in=  2,  rf_out=  2,  alu_out=  x
                 135,  curr= 7,  ss_add= 1,  ss_in=  0,  ss_out=  2,  rf_id= 1,  rf_in=  2,  rf_out=  2,  alu_out=  x
                 137,  curr= 8,  ss_add= 2,  ss_in=  0,  ss_out=  z,  rf_id= 2,  rf_in=  2,  rf_out=  2,  alu_out=  x
                 139,  curr= 9,  ss_add= 2,  ss_in=  0,  ss_out=  z,  rf_id= 2,  rf_in=  2,  rf_out=  x,  alu_out=  x
                 141,  curr= 1,  ss_add= 2,  ss_in=  0,  ss_out=  z,  rf_id= 2,  rf_in=  2,  rf_out=  x,  alu_out=  x
                 143,  curr= 2,  ss_add= 2,  ss_in=  0,  ss_out=  z,  rf_id= 2,  rf_in=  2,  rf_out=  x,  alu_out=  x
                 145,  curr= 3,  ss_add= 2,  ss_in=  0,  ss_out=  z,  rf_id= 2,  rf_in=  2,  rf_out=  x,  alu_out=  x
                 147,  curr= 4,  ss_add= 2,  ss_in=  0,  ss_out=  4,  rf_id= 2,  rf_in=  4,  rf_out=  x,  alu_out=  x
                 149,  curr= 5,  ss_add= 2,  ss_in=  0,  ss_out=  4,  rf_id= 2,  rf_in=  4,  rf_out=  x,  alu_out=  x
                 151,  curr= 6,  ss_add= 2,  ss_in=  0,  ss_out=  4,  rf_id= 2,  rf_in=  4,  rf_out=  4,  alu_out=  x
                 153,  curr= 7,  ss_add= 2,  ss_in=  0,  ss_out=  4,  rf_id= 2,  rf_in=  4,  rf_out=  4,  alu_out=  x
                 155,  curr= 8,  ss_add= 3,  ss_in=  0,  ss_out=  z,  rf_id= 3,  rf_in=  4,  rf_out=  4,  alu_out=  x
                 157,  curr= 9,  ss_add= 3,  ss_in=  0,  ss_out=  z,  rf_id= 3,  rf_in=  4,  rf_out=  x,  alu_out=  x
                 159,  curr= 1,  ss_add= 3,  ss_in=  0,  ss_out=  z,  rf_id= 3,  rf_in=  4,  rf_out=  x,  alu_out=  x
                 161,  curr= 2,  ss_add= 3,  ss_in=  0,  ss_out=  z,  rf_id= 3,  rf_in=  4,  rf_out=  x,  alu_out=  x
                 163,  curr= 3,  ss_add= 3,  ss_in=  0,  ss_out=  z,  rf_id= 3,  rf_in=  4,  rf_out=  x,  alu_out=  x
                 165,  curr= 4,  ss_add= 3,  ss_in=  0,  ss_out=  6,  rf_id= 3,  rf_in=  6,  rf_out=  x,  alu_out=  x
                 167,  curr= 5,  ss_add= 3,  ss_in=  0,  ss_out=  6,  rf_id= 3,  rf_in=  6,  rf_out=  x,  alu_out=  x
