  1#BSBE#Dr. Jaganathan B. G.
  2#BSBE#Dr. Kumar Manish
  3#BSBE#Dr. Sanjukta Patra
  4#BSBE#Dr. Kumar Sachin
  5#BSBE#Dr. Selvaraju
  6#BSBE#Dr. Maiti S. K.
  7#BSBE#Dr. Trivedi V.
  8#BSBE#Dr. Ramakrishnan V.
  9#BSBE#Dr. Ramesh A.
 10#BSBE#Dr. Goswami Pranab
 11#BSBE#Dr. Bose Biplab
 12#BSBE#Dr. Goswami Pranab
 13#BSBE#Dr. Mandal B.B.
 14#BSBE#Dr. Arun Goyal
 15#BSBE#Dr. Rajkumar P Thummer
 16#BSBE#Dr. Limaye A. M.
 17#BSBE#Dr. Tamuli Ranjan
 18#BSBE#Dr. Das Debasish
 19#BSBE#Dr. Kanaujia S. P.
 20#BSBE#Dr. Sivaprakasam S.
 21#BSBE#Dr. Bora Utpal
 22#BSBE#Dr. Ghosh S.S.
 23#BSBE#Dr. Nagotu Shirisha
 24#BSBE#Dr. Kaur Gurvinder
 25#BSBE#Dr. Dasu V. V.
 26#BSBE#Dr. Chaturvedi Rakhi
 27#BSBE#Dr. Sahoo L.
 28#BSBE#Dr. Pakshirajan K.
 29#BSBE#Dr. Anand B.
 30#BSBE#Dr. Kunnumakkara A.B.
 31#BSBE#Dr. Chaudhary Nitin
 32#BSBE#Dr. Gupta Navin
 33#BSBE#Dr. Pandey Lalit
 34#BSBE#Dr. Priyadarshi Satpati
 35#BSBE#Dr. Swaminathan R.
800#BSBE#DUPC
900#BSBE#DPPC
