 36#CE#Dr. Ajay Dashora
 37#CE#Dr. Anjan Dutta
 38#CE#Dr. Ravi K.
 39#CE#Dr. B. Singh
 40#CE#Dr. B. Kumar
 41#CE#Dr. S. B. Gokhale
 42#CE#Dr. S. Chakraborty
 43#CE#Dr. Sharmila RB
 44#CE#Dr. L. Boeing Singh
 45#CE#Dr. Santu Kar
 46#CE#Dr. Amit Shelke
 47#CE#Dr. Sreeja P.
 48#CE#Dr. Mallikarjuna C.
 49#CE#Dr. Nipjyoti Bhardwaj
 50#CE#Dr. B. Hazra
 51#CE#Dr. H. Sharma
 52#CE#Dr. Sparsh Johari
 53#CE#Dr. K. Dasgupta
 54#CE#Dr. S. Talukdar
 55#CE#Dr. M. Jawed
 56#CE#Dr. A. Kalamdhad
 57#CE#Dr. Anil K. Mishra
 58#CE#Dr. Arindam Dey
 59#CE#Dr. A. K. Sarma
 60#CE#Dr. S. A. Kartha
 61#CE#Dr. R. K. Bhattacharjya
 62#CE#Dr. S. Dutta
 63#CE#Dr. Teiborlang Lyngdoh Ryntathiang
 64#CE#Dr. Akhilesh Kumar Maurya
 65#CE#Dr. Anjan Kumar S.
 66#CE#Dr. Archana M Nair
 67#CE#Dr. Sayantan Chakrborty
 68#CE#Dr. Rishikesh Bharti
 69#CE#Dr. S. Das
 70#CE#Dr. Arunasis Chakraborty
 71#CE#Dr. A. K. Singh
 72#CE#Dr. Bulu Pradhan
 73#CE#Dr. Hemant B. Kaushik
 74#CE#Dr. T.V. Bharat
 75#CE#Dr. Rajan Choudhary
 76#CE#Dr. Abhishek Kumar
 77#CE#Dr. Sreedeep
 78#CE#Dr. S. Chakraborty
 79#CE#Dr. P.K. Ghosh
801#CE#DUPC
901#CE#DPPC
