 80#CH#Dr. Shyam Prosad Biswas
 81#CH#Dr. Krishna Pada Bhabak
 82#CH#Dr. Lal Mohan Kundu
 83#CH#Dr. G Krishnamoorthy
 84#CH#Dr. Manabendra Ray
 85#CH#Dr. Sumana Dutta
 86#CH#Dr. A.S. Achalkumar
 87#CH#Dr. Ashish Kumar Gupta
 88#CH#Dr. Debasis Manna
 89#CH#Dr. Uttam Manna
 90#CH#Dr. Aditya Narayan Panda
 91#CH#Dr. Biplab Mondal
 92#CH#Dr. V Manivannan
 93#CH#Dr. Bhisma Kumar Patel
 94#CH#Dr. Parameswar Krishnan Iyer
 95#CH#Dr. Subhas Chandra Pan
 96#CH#Dr. Dipankar Srimani
 97#CH#Dr. Abu Taleb Khan
 98#CH#Dr. Chandan K. Jana
 99#CH#Dr. Bhubaneswar Mandal
100#CH#Dr. Anumita Paul
101#CH#Dr. Chandan Mukherjee
102#CH#Dr. Sunanda Chatterjee
103#CH#Dr. Kalyan Raidongia
104#CH#Dr. Sandip Paul
105#CH#Dr. Gopal Das
106#CH#Dr. Jubaraj Bikash Baruah
107#CH#Dr. Kingsuk Mahata
108#CH#Dr. Animesh Das
109#CH#Dr. Chivukula V Sastri
110#CH#Dr. Tharmalingam Punniyamurthy
111#CH#Dr. Debapratim Das
112#CH#Dr. Anil Kumar Saikia
113#CH#Dr. Subhendu Sekhar Bag
114#CH#Dr. Kalyanasis Sahu
115#CH#Dr. Mohd. Qureshi
116#CH#Dr. Arun Chattopadhyay
802#CH#DUPC
902#CH#DPPC
394#CH#Dr. Manabendra Sarma
