151#CS#Dr. R. Inkulu
152#CS#Dr. S. V. Rao
153#CS#Dr. G. Sajith
154#CS#Dr. J. K. Deka
155#CS#Dr. J. Jose
156#CS#Dr. H. K. Kapoor
157#CS#Dr. V. V. Saradhi
158#CS#Dr. A. Awekar
159#CS#Dr. Benny George K.
160#CS#Dr. Samit Bhattacharya
161#CS#Dr. Pinaki Mitra
162#CS#Dr. T. Venkatesh
163#CS#Dr. Arijit Sur
164#CS#Dr. Sukanta Bhattacharjee
165#CS#Dr. Aryabartta Sahu
166#CS#Dr. S. Ranbir Singh
167#CS#Dr. Sushanta Karmakar
168#CS#Dr. Manas Khatua
169#CS#Dr. Moumita Patra
170#CS#Dr. Sukumar Nandi
171#CS#Dr. Chandan Karfa
804#CS#DUPC
904#CS#DPPC
