197#EE#Dr. Roy Paily Palathinkal
198#EE#Dr. Mahima Arrawattia
199#EE#Dr. Manish Bhatt
200#EE#Dr. Ribhu
201#EE#Dr. Indrani Kar
202#EE#Dr. Rishikesh Dilip Kulkarni
203#EE#Dr. Harshal B Nemade
204#EE#Dr. Arun Tej Mallajosyula
205#EE#Dr. Kuntal Deka
206#EE#Dr. A Rajesh
207#EE#Dr. Sudarshan Mukherjee
208#EE#Dr. Arun B Aloshious
209#EE#Dr. Somanath Majhi
210#EE#Dr. A. Ravidranath
211#EE#Dr. Chandan Kumar
212#EE#Dr. Praveen Kumar
213#EE#Dr. Anirban Dasgupta
214#EE#DUPC
215#EE#Dr. Tanmay Dutta
216#EE#Dr. Gaurav Trivedi
217#EE#Dr. Shaik Rafi Ahamed
218#EE#Dr. Manoj B R
219#EE#Dr. P K Bora
220#EE#Dr. Prithwijit Guha
221#EE#Dr. Suresh Sundaram
222#EE#Dr. Salil Kashyap
223#EE#Dr. Sonali Chauhan
224#EE#Dr. K Rakesh Singh
225#EE#Dr. Ratnajit Bhattarjee
226#EE#Dr. Debabrata Sikdar
227#EE#Dr. Chitralekha Mahanta
228#EE#Dr. Srinivasan Krishnaswamy
229#EE#Dr. Hanumant Singh Shekhawat
230#EE#Dr. Sanjib Ganguly
231#EE#Dr. Kalpana Dhaka
232#EE#Dr. Tony Jacob
233#EE#Dr. Ravindra Kumar Jha
234#EE#Dr. Manas Kamal Bhuyan
235#EE#Dr. Samarendra Dandapat
236#EE#Dr. Kanan Karthik
237#EE#Dr. Smarajit Das
238#EE#Dr. Ramesh Kumar Sonkar
239#EE#Dr. Chayan Bhawal
240#EE#Dr. Shabri Nath
241#EE#Dr. Pravin Tripathi
808#EE#DUPC
908#EE#DPPC
