245#HS#Dr. V. Prabhu
246#HS#Dr. Naveen Kashyap
247#HS#Dr. Sambit Mallick
248#HS#Dr. Debarshi Das
249#HS#Dr. Agnirup Sarkar
250#HS#Dr. Sukanya Sharma
251#HS#Dr. Bidisha Som
252#HS#Dr. Mithilesh Kumar Jha
253#HS#Dr. Dilwar Hussain
254#HS#Dr. Kiran Keshavamurthy
255#HS#Dr. Vasundhara Jairath
256#HS#Dr. John Thomas
257#HS#Dr. Ngamjahao Kipgen
258#HS#Dr. Nachiketa Tripathi
259#HS#Dr. Abhishek Kashyap
260#HS#Dr. Mrinal Kanti Dutta
261#HS#Dr. Shakuntala Mahanta
262#HS#Dr. Arupjyoti Saikia
263#HS#Dr. Priyankoo Sarmah
264#HS#Dr. Bodhisattva Sengupta
265#HS#Dr. Debapriya Basu
266#HS#Dr. Anamika Barua
267#HS#Dr. Vipul Dutta
268#HS#Dr. Amarjyoti Mahanta
269#HS#Dr. Rohini Mokashi Punekar
270#HS#Dr. Pahi Saikia
271#HS#Dr. Rajshree Bedamatta
272#HS#Dr. Prasad Khanolkar
273#HS#Dr. Daksha Parmar
274#HS#Dr. Saundarjya Borbora
275#HS#Dr. Sawmya Ray
810#HS#DUPC
910#HS#DPPC
