CE205#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Anjan Dutta#21 Apr, 2021 ( 09:00 to 12:00 )
CE212#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Indu Siva Ranjani Gandhi#
CE214#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Subashisa Dutta#
CE220#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Bimlesh Kumar#22 Apr, 2021 ( 09:00 to 12:00 )
CE221#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Bimlesh Kumar#
CE215#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Baleshwar Singh#
CE222#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pranab Kumar Ghosh#23 Apr, 2021 ( 09:00 to 12:00 )
CE223#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Ajay Kalamdhad#
CE201#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Ajay  Dashora#24 Apr, 2021 ( 09:00 to 12:00 )
CE208#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Rishikesh  Bharti#
CE213#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Ajay  Dashora#
CE309#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Arbind  Kumar Singh#21 Apr, 2021 ( 14:00 to 17:00 )
CE308#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Johan Ninan#22 Apr, 2021 ( 14:00 to 17:00 )
CE321#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sreeja Pekkat#
CE313#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Baleshwar Singh#
CE314#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Rajan Choudhary#
CE322#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Akhilesh Kumar Maurya#23 Apr, 2021 ( 14:00 to 17:00 )
CE323#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Anjan Kumar Siddagangaiah#
CE504#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Hrishikesh Sharma#21 Apr, 2021 ( 09:00 to 12:00 )
CE511#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Kaustubh Dasgupta#
CE512#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sajal  Kanti Deb#
CE606#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sandip  Das#23 Apr, 2021 ( 09:00 to 12:00 )
CE615#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Hemant B. Kaushik#22 Apr, 2021 ( 14:00 to 17:00 )
CE619#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Amit  Balasaheb Shelke#26 Apr, 2021 ( 09:00 to 12:00 )
CE514#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sudip Talukdar#27 Apr, 2021 ( 09:00 to 12:00 )
CE608#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Arunasis Chakraborty#28 Apr, 2021 ( 09:00 to 12:00 )
CE510#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Johan Ninan#23 Apr, 2021 ( 09:00 to 12:00 )
CE544#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Laishram Boeing Singh#
CE612#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Bulu Pradhan#
CE614#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Laishram Boeing Singh#22 Apr, 2021 ( 09:00 to 12:00 )
CE552#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Arup  Kumar Sarma#28 Apr, 2021 ( 09:00 to 12:00 )
CE623#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Rajan Choudhary#26 Apr, 2021 ( 09:00 to 12:00 )
CE555#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Chandan Mahanta#21 Apr, 2021 ( 09:00 to 12:00 )
CE556#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Suresh Arvindakshan Kartha#22 Apr, 2021 ( 09:00 to 12:00 )
CE562#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sreeja Pekkat#26 Apr, 2021 ( 09:00 to 12:00 )
CE559#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Subashisa Dutta#27 Apr, 2021 ( 09:00 to 12:00 )
CE560#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Gautam_ Barua#26 Apr, 2021 ( 14:00 to 17:00 )
CE515#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Rajib Kumar Bhattacharjya#28 Apr, 2021 ( 14:00 to 17:00 )
CE533#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Anil Kumar Mishra#21 Apr, 2021 ( 09:00 to 12:00 )
CE534#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Abhishek  Kumar#
CE618#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Tadikonda Venkata Bharat#22 Apr, 2021 ( 14:00 to 17:00 )
CE641#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Arindam#23 Apr, 2021 ( 09:00 to 12:00 )
CE646#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sreedeep Sekharan#24 Apr, 2021 ( 14:00 to 17:00 )
CE583#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Teiborlang Lyngdoh Ryntathiang#21 Apr, 2021 ( 09:00 to 12:00 )
CE584#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Akhilesh Kumar Maurya#22 Apr, 2021 ( 09:00 to 12:00 )
CE585#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Chunchu Mallikarjuna#
CE628#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Chunchu Mallikarjuna#24 Apr, 2021 ( 09:00 to 12:00 )
CE521#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pranab Kumar Ghosh#
CE523#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sharad Bhaurao Gokhale#
CE524#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Mohammad Jawed#21 Apr, 2021 ( 09:00 to 12:00 )
CE525#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Ajay Kalamdhad#22 Apr, 2021 ( 09:00 to 12:00 )
CE661#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sharad Bhaurao Gokhale#28 Apr, 2021 ( 09:00 to 12:00 )
CE664#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Saswati Chakraborty#24 Apr, 2021 ( 09:00 to 12:00 )
